generator,k,dp,s
g7,9,4.5,19.214299999999994
g7,10,4.5,19.558099999999992
g7,11,4.5,19.901899999999994
g7,12,4.5,20.245699999999992
g7,13,4.5,20.589499999999994
g7,14,4.5,20.933299999999992
g7,15,4.5,21.277100000000043
g7,16,4.5,21.620899999999992
g7,17,4.5,21.964699999999993
g7,18,4.5,22.308499999999942
g7,19,4.5,22.652300000000043
g7,20,4.5,22.996099999999995
g8,1,4.0,16.015199999999993
g8,2,4.0,16.3296
g8,3,4.0,16.644000000000005
g8,4,4.0,16.95840000000001
g8,5,4.0,17.27279999999999
g8,6,4.0,17.587199999999996
g8,7,4.0,17.901600000000002
g8,8,4.0,18.21599999999998
g8,9,4.0,18.530400000000043
g8,10,4.0,18.844799999999964
g8,11,4.0,19.1592
g8,12,4.0,19.473600000000033
g8,13,4.0,19.78800000000001
g8,14,4.0,20.10239999999999
g8,15,4.0,20.416799999999967
g8,16,4.0,20.7312
g8,17,4.0,21.045600000000036
g8,18,4.0,21.359999999999957
g8,19,4.0,21.67440000000005
g8,20,4.0,21.98879999999997
g9,1,3.0,16.702800000000007
g9,2,3.0,16.94040000000001
g9,3,3.0,17.177999999999997
g9,4,3.0,17.415599999999984
g9,5,3.0,17.65320000000001
g9,6,3.0,17.890800000000013
g9,7,3.0,18.12839999999998
g9,8,3.0,18.366000000000025
g9,9,3.0,18.60359999999999
g9,10,3.0,18.841199999999997
g9,11,3.0,19.0788
g9,12,3.0,19.316400000000005
g9,13,3.0,19.554000000000013
g9,14,3.0,19.791600000000017
g9,15,3.0,20.029199999999946
g9,16,3.0,20.26680000000003
g9,17,3.0,20.504399999999958
g9,18,3.0,20.742000000000036
g9,19,3.0,20.979599999999966
g9,20,3.0,21.217200000000048
g10,1,2.0,16.442000000000007
g10,2,2.0,16.646000000000015
g10,3,2.0,16.849999999999994
g10,4,2.0,17.054000000000002
g10,5,2.0,17.25799999999998
g10,6,2.0,17.462000000000046
g10,7,2.0,17.665999999999997
g10,8,2.0,17.870000000000005
g10,9,2.0,18.073999999999955
g10,10,2.0,18.27800000000002
g10,11,2.0,18.482000000000028
g10,12,2.0,18.68599999999998
g10,13,2.0,18.890000000000043
g10,14,2.0,19.093999999999994
g10,15,2.0,19.297999999999945
g10,16,2.0,19.50200000000001
g10,17,2.0,19.706000000000017
g10,18,2.0,19.910000000000025
g10,19,2.0,20.113999999999976
g10,20,2.0,20.317999999999927
