generator,t,uptime1_mask,uptime2_mask,uptime3_active,dntime1_mask,dntime2_mask,dntime3_active
g10,9,0,0,1,0,0,1
g10,10,0,0,1,0,0,1
g10,11,0,0,1,0,0,1
g10,12,0,0,1,0,0,1
g10,13,0,0,1,0,0,1
g10,14,0,0,1,0,0,1
g10,15,0,0,1,0,0,1
g10,16,0,0,1,0,0,1
g10,17,0,0,1,0,0,1
g10,18,0,0,1,0,0,1
g10,19,0,0,1,0,0,1
g10,20,0,0,1,0,0,1
g10,21,0,0,1,0,0,1
g10,22,0,0,1,0,0,1
g10,23,0,0,1,0,0,1
g10,24,0,0,1,0,0,1
