line,bus,from_w,to_w
L9,1,0,0
L9,2,0,0
L9,3,0,0
L9,4,0,0
L9,5,1,0
L9,6,0,0
L9,7,0,0
L9,8,0,0
L9,9,0,0
L9,10,0,1
L9,11,0,0
L9,12,0,0
L9,13,0,0
L9,14,0,0
L9,15,0,0
L9,16,0,0
L9,17,0,0
L9,18,0,0
L9,19,0,0
L9,20,0,0
L9,21,0,0
L9,22,0,0
L9,23,0,0
L9,24,0,0
L10,1,0,0
L10,2,0,0
L10,3,0,0
L10,4,0,0
L10,5,0,0
L10,6,1,0
L10,7,0,0
L10,8,0,0
L10,9,0,0
L10,10,0,1
L10,11,0,0
L10,12,0,0
L10,13,0,0
L10,14,0,0
L10,15,0,0
L10,16,0,0
L10,17,0,0
L10,18,0,0
L10,19,0,0
L10,20,0,0
L10,21,0,0
L10,22,0,0
L10,23,0,0
L10,24,0,0
L11,1,0,0
L11,2,0,0
L11,3,0,0
L11,4,0,0
L11,5,0,0
L11,6,0,0
L11,7,1,0
L11,8,0,1
L11,9,0,0
L11,10,0,0
L11,11,0,0
L11,12,0,0
L11,13,0,0
L11,14,0,0
L11,15,0,0
L11,16,0,0
L11,17,0,0
L11,18,0,0
L11,19,0,0
L11,20,0,0
L11,21,0,0
L11,22,0,0
L11,23,0,0
L11,24,0,0
L12,1,0,0
L12,2,0,0
L12,3,0,0
L12,4,0,0
L12,5,0,0
L12,6,0,0
L12,7,0,0
L12,8,1,0
L12,9,0,1
L12,10,0,0
L12,11,0,0
L12,12,0,0
L12,13,0,0
L12,14,0,0
L12,15,0,0
L12,16,0,0
L12,17,0,0
L12,18,0,0
L12,19,0,0
L12,20,0,0
L12,21,0,0
L12,22,0,0
L12,23,0,0
L12,24,0,0
L13,1,0,0
L13,2,0,0
L13,3,0,0
L13,4,0,0
L13,5,0,0
L13,6,0,0
L13,7,0,0
L13,8,1,0
L13,9,0,0
L13,10,0,1
L13,11,0,0
L13,12,0,0
L13,13,0,0
L13,14,0,0
L13,15,0,0
L13,16,0,0
L13,17,0,0
L13,18,0,0
L13,19,0,0
L13,20,0,0
L13,21,0,0
L13,22,0,0
L13,23,0,0
L13,24,0,0
L14,1,0,0
L14,2,0,0
L14,3,0,0
L14,4,0,0
L14,5,0,0
L14,6,0,0
L14,7,0,0
L14,8,0,0
L14,9,1,0
L14,10,0,0
L14,11,0,1
L14,12,0,0
L14,13,0,0
L14,14,0,0
L14,15,0,0
L14,16,0,0
L14,17,0,0
L14,18,0,0
L14,19,0,0
L14,20,0,0
L14,21,0,0
L14,22,0,0
L14,23,0,0
L14,24,0,0
L15,1,0,0
L15,2,0,0
L15,3,0,0
L15,4,0,0
L15,5,0,0
L15,6,0,0
L15,7,0,0
L15,8,0,0
L15,9,1,0
L15,10,0,0
L15,11,0,0
L15,12,0,1
L15,13,0,0
L15,14,0,0
L15,15,0,0
L15,16,0,0
L15,17,0,0
L15,18,0,0
L15,19,0,0
L15,20,0,0
L15,21,0,0
L15,22,0,0
L15,23,0,0
L15,24,0,0
L16,1,0,0
L16,2,0,0
L16,3,0,0
L16,4,0,0
L16,5,0,0
L16,6,0,0
L16,7,0,0
L16,8,0,0
L16,9,0,0
L16,10,1,0
L16,11,0,1
L16,12,0,0
L16,13,0,0
L16,14,0,0
L16,15,0,0
L16,16,0,0
L16,17,0,0
L16,18,0,0
L16,19,0,0
L16,20,0,0
L16,21,0,0
L16,22,0,0
L16,23,0,0
L16,24,0,0
L17,1,0,0
L17,2,0,0
L17,3,0,0
L17,4,0,0
L17,5,0,0
L17,6,0,0
L17,7,0,0
L17,8,0,0
L17,9,0,0
L17,10,1,0
L17,11,0,0
L17,12,0,1
L17,13,0,0
L17,14,0,0
L17,15,0,0
L17,16,0,0
L17,17,0,0
L17,18,0,0
L17,19,0,0
L17,20,0,0
L17,21,0,0
L17,22,0,0
L17,23,0,0
L17,24,0,0
L18,1,0,0
L18,2,0,0
L18,3,0,0
L18,4,0,0
L18,5,0,0
L18,6,0,0
L18,7,0,0
L18,8,0,0
L18,9,0,0
L18,10,0,0
L18,11,1,0
L18,12,0,0
L18,13,0,1
L18,14,0,0
L18,15,0,0
L18,16,0,0
L18,17,0,0
L18,18,0,0
L18,19,0,0
L18,20,0,0
L18,21,0,0
L18,22,0,0
L18,23,0,0
L18,24,0,0
L19,1,0,0
L19,2,0,0
L19,3,0,0
L19,4,0,0
L19,5,0,0
L19,6,0,0
L19,7,0,0
L19,8,0,0
L19,9,0,0
L19,10,0,0
L19,11,1,0
L19,12,0,0
L19,13,0,0
L19,14,0,1
L19,15,0,0
L19,16,0,0
L19,17,0,0
L19,18,0,0
L19,19,0,0
L19,20,0,0
L19,21,0,0
L19,22,0,0
L19,23,0,0
L19,24,0,0
L20,1,0,0
L20,2,0,0
L20,3,0,0
L20,4,0,0
L20,5,0,0
L20,6,0,0
L20,7,0,0
L20,8,0,0
L20,9,0,0
L20,10,0,0
L20,11,0,0
L20,12,1,0
L20,13,0,1
L20,14,0,0
L20,15,0,0
L20,16,0,0
L20,17,0,0
L20,18,0,0
L20,19,0,0
L20,20,0,0
L20,21,0,0
L20,22,0,0
L20,23,0,0
L20,24,0,0
L21,1,0,0
L21,2,0,0
L21,3,0,0
L21,4,0,0
L21,5,0,0
L21,6,0,0
L21,7,0,0
L21,8,0,0
L21,9,0,0
L21,10,0,0
L21,11,0,0
L21,12,1,0
L21,13,0,0
L21,14,0,0
L21,15,0,0
L21,16,0,0
L21,17,0,0
L21,18,0,0
L21,19,0,0
L21,20,0,0
L21,21,0,0
L21,22,0,0
L21,23,0,1
L21,24,0,0
L22,1,0,0
L22,2,0,0
L22,3,0,0
L22,4,0,0
L22,5,0,0
L22,6,0,0
L22,7,0,0
L22,8,0,0
L22,9,0,0
L22,10,0,0
L22,11,0,0
L22,12,0,0
L22,13,1,0
L22,14,0,0
L22,15,0,0
L22,16,0,0
L22,17,0,0
L22,18,0,0
L22,19,0,0
L22,20,0,0
L22,21,0,0
L22,22,0,0
L22,23,0,1
L22,24,0,0
L23,1,0,0
L23,2,0,0
L23,3,0,0
L23,4,0,0
L23,5,0,0
L23,6,0,0
L23,7,0,0
L23,8,0,0
L23,9,0,0
L23,10,0,0
L23,11,0,0
L23,12,0,0
L23,13,0,0
L23,14,1,0
L23,15,0,0
L23,16,0,1
L23,17,0,0
L23,18,0,0
L23,19,0,0
L23,20,0,0
L23,21,0,0
L23,22,0,0
L23,23,0,0
L23,24,0,0
L24,1,0,0
L24,2,0,0
L24,3,0,0
L24,4,0,0
L24,5,0,0
L24,6,0,0
L24,7,0,0
L24,8,0,0
L24,9,0,0
L24,10,0,0
L24,11,0,0
L24,12,0,0
L24,13,0,0
L24,14,0,0
L24,15,1,0
L24,16,0,1
L24,17,0,0
L24,18,0,0
L24,19,0,0
L24,20,0,0
L24,21,0,0
L24,22,0,0
L24,23,0,0
L24,24,0,0
L25,1,0,0
L25,2,0,0
L25,3,0,0
L25,4,0,0
L25,5,0,0
L25,6,0,0
L25,7,0,0
L25,8,0,0
L25,9,0,0
L25,10,0,0
L25,11,0,0
L25,12,0,0
L25,13,0,0
L25,14,0,0
L25,15,1,0
L25,16,0,0
L25,17,0,0
L25,18,0,0
L25,19,0,0
L25,20,0,0
L25,21,0,1
L25,22,0,0
L25,23,0,0
L25,24,0,0
L26,1,0,0
L26,2,0,0
L26,3,0,0
L26,4,0,0
L26,5,0,0
L26,6,0,0
L26,7,0,0
L26,8,0,0
L26,9,0,0
L26,10,0,0
L26,11,0,0
L26,12,0,0
L26,13,0,0
L26,14,0,0
L26,15,1,0
L26,16,0,0
L26,17,0,0
L26,18,0,0
L26,19,0,0
L26,20,0,0
L26,21,0,0
L26,22,0,0
L26,23,0,0
L26,24,0,1
L27,1,0,0
L27,2,0,0
L27,3,0,0
L27,4,0,0
L27,5,0,0
L27,6,0,0
L27,7,0,0
L27,8,0,0
L27,9,0,0
L27,10,0,0
L27,11,0,0
L27,12,0,0
L27,13,0,0
L27,14,0,0
L27,15,0,0
L27,16,1,0
L27,17,0,1
L27,18,0,0
L27,19,0,0
L27,20,0,0
L27,21,0,0
L27,22,0,0
L27,23,0,0
L27,24,0,0
L28,1,0,0
L28,2,0,0
L28,3,0,0
L28,4,0,0
L28,5,0,0
L28,6,0,0
L28,7,0,0
L28,8,0,0
L28,9,0,0
L28,10,0,0
L28,11,0,0
L28,12,0,0
L28,13,0,0
L28,14,0,0
L28,15,0,0
L28,16,1,0
L28,17,0,0
L28,18,0,0
L28,19,0,1
L28,20,0,0
L28,21,0,0
L28,22,0,0
L28,23,0,0
L28,24,0,0
L29,1,0,0
L29,2,0,0
L29,3,0,0
L29,4,0,0
L29,5,0,0
L29,6,0,0
L29,7,0,0
L29,8,0,0
L29,9,0,0
L29,10,0,0
L29,11,0,0
L29,12,0,0
L29,13,0,0
L29,14,0,0
L29,15,0,0
L29,16,0,0
L29,17,1,0
L29,18,0,1
L29,19,0,0
L29,20,0,0
L29,21,0,0
L29,22,0,0
L29,23,0,0
L29,24,0,0
L30,1,0,0
L30,2,0,0
L30,3,0,0
L30,4,0,0
L30,5,0,0
L30,6,0,0
L30,7,0,0
L30,8,0,0
L30,9,0,0
L30,10,0,0
L30,11,0,0
L30,12,0,0
L30,13,0,0
L30,14,0,0
L30,15,0,0
L30,16,0,0
L30,17,1,0
L30,18,0,0
L30,19,0,0
L30,20,0,0
L30,21,0,0
L30,22,0,1
L30,23,0,0
L30,24,0,0
L31,1,0,0
L31,2,0,0
L31,3,0,0
L31,4,0,0
L31,5,0,0
L31,6,0,0
L31,7,0,0
L31,8,0,0
L31,9,0,0
L31,10,0,0
L31,11,0,0
L31,12,0,0
L31,13,0,0
L31,14,0,0
L31,15,0,0
L31,16,0,0
L31,17,0,0
L31,18,1,0
L31,19,0,0
L31,20,0,0
L31,21,0,1
L31,22,0,0
L31,23,0,0
L31,24,0,0
L32,1,0,0
L32,2,0,0
L32,3,0,0
L32,4,0,0
L32,5,0,0
L32,6,0,0
L32,7,0,0
L32,8,0,0
L32,9,0,0
L32,10,0,0
L32,11,0,0
L32,12,0,0
L32,13,0,0
L32,14,0,0
L32,15,0,0
L32,16,0,0
L32,17,0,0
L32,18,0,0
L32,19,1,0
L32,20,0,1
L32,21,0,0
L32,22,0,0
L32,23,0,0
L32,24,0,0
L33,1,0,0
L33,2,0,0
L33,3,0,0
L33,4,0,0
L33,5,0,0
L33,6,0,0
L33,7,0,0
L33,8,0,0
L33,9,0,0
L33,10,0,0
L33,11,0,0
L33,12,0,0
L33,13,0,0
L33,14,0,0
L33,15,0,0
L33,16,0,0
L33,17,0,0
L33,18,0,0
L33,19,0,0
L33,20,1,0
L33,21,0,0
L33,22,0,0
L33,23,0,1
L33,24,0,0
L34,1,0,0
L34,2,0,0
L34,3,0,0
L34,4,0,0
L34,5,0,0
L34,6,0,0
L34,7,0,0
L34,8,0,0
L34,9,0,0
L34,10,0,0
L34,11,0,0
L34,12,0,0
L34,13,0,0
L34,14,0,0
L34,15,0,0
L34,16,0,0
L34,17,0,0
L34,18,0,0
L34,19,0,0
L34,20,0,0
L34,21,1,0
L34,22,0,1
L34,23,0,0
L34,24,0,0
